"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\Ahmed\OneDrive\Desktop\movie react projekat\movie\src\App.tsx", "TypeScript JSX", 0, -1, 0, 0, -2, -3
"c:\Users\Ahmed\OneDrive\Desktop\movie react projekat\movie\src\components\GenreSelector.tsx", "TypeScript JSX", 0, -55, 0, -1, -12, -68
"c:\Users\Ahmed\OneDrive\Desktop\movie react projekat\movie\src\components\Homepage.tsx", "TypeScript JSX", 0, 14, 0, 0, 3, 17
"c:\Users\Ahmed\OneDrive\Desktop\movie react projekat\movie\src\components\ItemGrid.tsx", "TypeScript JSX", 0, -30, 0, 0, -8, -38
"c:\Users\Ahmed\OneDrive\Desktop\movie react projekat\movie\src\components\SearchBar.tsx", "TypeScript JSX", 0, -35, 0, 0, -6, -41
"c:\Users\Ahmed\OneDrive\Desktop\movie react projekat\movie\src\components\css\grid_item.css", "CSS", 0, 0, 13, 0, 3, 16
"c:\Users\Ahmed\OneDrive\Desktop\movie react projekat\movie\src\components\subcomponents\GenreSelector.tsx", "TypeScript JSX", 0, 53, 0, 3, 12, 68
"c:\Users\Ahmed\OneDrive\Desktop\movie react projekat\movie\src\components\subcomponents\ItemGrid.tsx", "TypeScript JSX", 0, 40, 0, 0, 12, 52
"c:\Users\Ahmed\OneDrive\Desktop\movie react projekat\movie\src\components\subcomponents\SearchBar.tsx", "TypeScript JSX", 0, 63, 0, 0, 14, 77
"c:\Users\Ahmed\OneDrive\Desktop\movie react projekat\movie\src\state\slices\contentSlice.ts", "TypeScript", 14, 0, 0, 0, 1, 15
"Total", "-", 14, 49, 13, 2, 17, 95